開催日,格,レース名,競馬場,距離,馬名,父,母,母父,馬主,生産牧場,セリ結果,写真URL
2026/01/31,,3歳1勝クラス,京都,ダ1800m,ソルチェリア,ナダル,フェザーレイ,エルコンドルパサー,奥　雅哉,高村牧場,880万円（北海道セレクションセール）,
2026/01/31,,3歳1勝クラス,東京,ダ1600m,リベッチオ,ルヴァンスレーヴ,スーブレット,ゴールドアリュール,シルクレーシング,ノーザンファーム,,
2026/01/31,,3歳未勝利,小倉,芝1200m,カシノリアーナ,サトノクラウン,ミュゼミランダ,ダイワメジャー,柏木　務,元道牧場,220万円（北海道サマーセール）,
2026/01/31,,3歳未勝利,京都,ダ1400m,ゴディアンフィンチ,シスキン,カラフルデイズ,フジキセキ,Ｇ１レーシング,社台コーポレーション白老ファーム,,
2026/01/31,,3歳未勝利,小倉,芝2000m,フォーチュンライド,エピファネイア,エアワンピース,ロックオブジブラルタル,社台レースホース,社台ファーム,,
2026/01/31,,3歳未勝利,京都,芝1600m,ペイシャシス,シスキン,ペイシャフェリス,スペシャルウィーク,北所　直人,友田牧場,,
2026/01/31,,3歳未勝利,東京,芝1600m,リアライズリバティ,シスキン,バルレッタ,エピファネイア,今福　洋介,長浜牧場,"4,290万円（北海道セレクションセール）",
2026/01/31,,3歳未勝利,京都,ダ1800m,ヴィエントデコラ,ルヴァンスレーヴ,イッツオンリーアクティングダッド,Giant's Causeway,Ｇ１レーシング,追分ファーム,,
2026/01/31,,4歳上1勝クラス,小倉,芝2000m,エンジェルマーク,エピファネイア,ステファニーズキトゥン,Kitten's Joy,ＤＭＭドリームクラブ,ノーザンファーム,"7,480万円（ノーザンファームミックスセール）",
2026/01/31,,4歳上1勝クラス,小倉,ダ1700m,モレポブラーノ,マインドユアビスケッツ,ハラペーニョペパー,ゼンノロブロイ,社台レースホース,社台ファーム,,
2026/01/31,L,白富士ステークス,東京,芝2000m,ダノンシーマ,キタサンブラック,インクルードベティ,Include,ダノックス,ノーザンファーム,"34,100万円（セレクトセール）",
2026/01/31,,舞鶴ステークス（4歳以上3勝クラス）,京都,ダ1800m,プロミストジーン,ナダル,プロミストリープ,ヘニーヒューズ,シルクレーシング,ノーザンファーム,,
2026/01/31,,障害4歳上オープン,小倉,障2860m,ホークフィールド,キズナ,カンビーナ,Hawk Wing,社台レースホース,社台ファーム,,
2026/01/31,,障害4歳上未勝利,小倉,障2860m,レッドラマンシュ,ロードカナロア,レッドシェリール,ゼンノロブロイ,東京ホースレーシング,富田牧場,,
2026/02/01,,3歳新馬,東京,芝1600m,アスクイキゴミ,ロードカナロア,インピード,Bated Breath,廣崎利洋ＨＤ,ノーザンファーム,"9,460万円（セレクトセール）",
2026/02/01,,3歳新馬,京都,ダ1400m,ティエラレイナ,ナダル,エルパンドール,ネオユニヴァース,インゼルレーシング,杵臼牧場,,
2026/02/01,,3歳未勝利,東京,芝1800m,アウダーシア,キズナ,リリーノーブル,ルーラーシップ,サンデーレーシング,ノーザンファーム,,
2026/02/01,,3歳未勝利,京都,ダ1900m,アスクチャンスマン,ドレフォン,ベストセラーアスク,キングカメハメハ,廣崎利洋ＨＤ,三嶋牧場,,
2026/02/01,,3歳未勝利,東京,ダ2100m,オルブライト,オルフェーヴル,エナジャイズ,キングカメハメハ,ＹＧＧホースクラブ,市川フアーム,,
2026/02/01,,3歳未勝利,京都,ダ1800m,グラシアムヘール,コントレイル,カレドニアロード,Quality Road,モンレーヴ,グランド牧場,"13,750万円（セレクトセール）",
2026/02/01,,3歳未勝利,京都,芝2000m,メイショウテンク,ポエティックフレア,フェルトベルク,ブラックタイド,松本　好隆,三嶋牧場,,
2026/02/01,,4歳上1勝クラス,小倉,芝1800m,クラヴァンス,ロードカナロア,ヴィブロス,ディープインパクト,佐々木　主浩,ノーザンファーム,,
2026/02/01,,4歳上1勝クラス,京都,ダ1800m,ドラゴン,マインドユアビスケッツ,ノーブルコロネット,ディープインパクト,キーファーズ,社台ファーム,"4,730万円（セレクトセール）",
